Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
590000,2.7294257,918.7272727272727,-0.4793852,-4.433830137550831,-4.433830137550831,0.0045092995,0.09010812,0.00026491212,0.18830405,0.0044163717,1.0
600000,2.6344693,875.1428571428571,-0.48798212,-4.362862629815936,-4.362862629815936,0.00091109803,0.09488701,0.00026431654,0.18810554,0.0044064648,1.0
610000,2.6470606,999.0,-0.4938722,-5.00303144659847,-5.00303144659847,3.6869602e-05,0.09219797,0.00026369738,0.18789913,0.0043961657,1.0
620000,2.455414,999.0,-0.4987838,-4.955366857349873,-4.955366857349873,5.615839e-05,0.089905806,0.00026309706,0.18769899,0.00438618,1.0
630000,2.4214098,999.0,-0.49634162,-5.016000239686533,-5.016000239686533,3.0236411e-05,0.08929743,0.00026249496,0.18749832,0.004376165,1.0
640000,2.2536178,999.0,-0.49420968,-4.940400276671756,-4.940400276671756,1.9192303e-05,0.0881754,0.00026189833,0.18729943,0.0043662423,1.0
650000,2.1399822,999.0,-0.4918901,-4.945437788963318,-4.945437788963318,1.4420004e-05,0.08678366,0.00026129404,0.18709801,0.0043561906,1.0
660000,2.0527809,999.0,-0.4940854,-4.933527633547783,-4.933527633547783,9.99515e-06,0.08396296,0.00026068868,0.18689623,0.0043461206,1.0
670000,2.0352643,999.0,-0.49416143,-4.935140354931354,-4.935140354931354,6.9992775e-06,0.09098535,0.00026009226,0.18669742,0.004336201,1.0
680000,1.9939767,891.5555555555555,-0.49620718,-4.300711472829183,-4.300711472829183,0.0043788236,0.09103257,0.00025950503,0.18650167,0.0043264334,1.0
690000,1.8455964,938.5625,-0.48928928,-4.5688066352158785,-4.5688066352158785,0.0042475928,0.09230139,0.00025888535,0.18629512,0.0043161255,1.0
700000,1.7336504,878.25,-0.4763194,-4.214575344696641,-4.214575344696641,0.0026309679,0.09404511,0.0002582994,0.18609978,0.0043063797,1.0
710000,1.6659156,999.0,-0.4928941,-4.929860420525074,-4.929860420525074,4.5736084e-05,0.09318304,0.0002577134,0.18590447,0.004296633,1.0
720000,1.481891,863.3571428571429,-0.49408746,-4.118650370410511,-4.118650370410511,0.0006645405,0.09041838,0.00025710915,0.18570305,0.0042865817,1.0
730000,1.1973692,999.0,-0.49284127,-4.9388004136937,-4.9388004136937,0.0039576376,0.090023994,0.00025651688,0.1855056,0.00427673,1.0
740000,1.1652397,999.0,-0.49316293,-4.935858788589637,-4.935858788589637,1.8012566e-05,0.090330996,0.00025589817,0.18529938,0.0042664385,1.0
750000,1.165918,999.0,-0.4907671,-4.940655984812313,-4.940655984812313,8.649227e-06,0.09336047,0.00025529758,0.18509917,0.004256449,1.0
760000,1.1468316,999.0,-0.4914211,-4.924112921580672,-4.924112921580672,1.17997515e-05,0.08433863,0.00025470715,0.18490237,0.0042466284,1.0
770000,1.202113,999.0,-0.49072388,-4.924438904111202,-4.924438904111202,4.5024635e-06,0.09522367,0.0002540955,0.18469849,0.0042364546,1.0
780000,1.2565507,999.0,-0.489501,-4.9182893302705555,-4.9182893302705555,5.437239e-06,0.08790362,0.00025350836,0.18450277,0.004226688,1.0
790000,1.0885822,999.0,-0.49140468,-4.91782546415925,-4.91782546415925,2.45665e-06,0.08733601,0.00025290498,0.18430166,0.004216652,1.0
800000,1.1200737,929.9285714285714,-0.48859367,-4.538407092293103,-4.538407092293103,0.0038943258,0.08946901,0.0002522936,0.18409784,0.004206483,1.0
810000,1.0864922,999.0,-0.48602486,-4.919150474170844,-4.919150474170844,6.537691e-05,0.095291376,0.00025170244,0.18390082,0.0041966503,1.0
820000,1.0501415,934.6,-0.48580918,-4.50793615515743,-4.50793615515743,0.0028174582,0.087505326,0.00025110293,0.18370096,0.0041866787,1.0
830000,1.0320978,778.1666666666666,-0.48710948,-3.7060234489349217,-3.7060234489349217,0.0060947575,0.095323555,0.0002505162,0.18350537,0.004176919,1.0
840000,0.8093917,999.0,-0.48391226,-4.913257639322962,-4.913257639322962,0.0016686887,0.089542255,0.0002498988,0.18329959,0.0041666497,1.0
850000,0.7800114,912.6363636363636,-0.48268414,-4.454433818658193,-4.454433818658193,0.0053405357,0.08916016,0.00024930382,0.18310127,0.0041567525,1.0
860000,0.8434975,999.0,-0.48981747,-4.920120528340339,-4.920120528340339,5.8411617e-05,0.09210414,0.00024868056,0.1828935,0.004146386,1.0
870000,0.7538235,878.125,-0.49086562,-4.2854226811064615,-4.2854226811064615,0.0026861902,0.087897405,0.00024810032,0.18270011,0.0041367346,1.0
880000,0.7933868,888.1764705882352,-0.4806822,-4.27801808451905,-4.27801808451905,0.007410474,0.090559244,0.00024751492,0.18250497,0.0041269977,1.0
890000,0.71971995,880.25,-0.49146524,-4.225700434297323,-4.225700434297323,0.003211981,0.08657942,0.00024690258,0.18230087,0.0041168123,1.0
900000,0.7255842,909.0,-0.50125134,-4.316989329126146,-4.316989329126146,0.0033082084,0.08797274,0.0002463075,0.18210249,0.0041069137,1.0
910000,0.91172355,884.7857142857143,-0.4810999,-4.28184040983518,-4.28184040983518,0.010208121,0.09002273,0.00024571712,0.18190572,0.004097094,1.0
920000,1.1399944,623.0,-0.40259862,-2.445053571462631,-2.445053571462631,0.01940468,0.09230627,0.00024511162,0.1817039,0.004087023,1.0
930000,1.1839002,677.8,-0.4233741,-3.0924815628677607,-3.0924815628677607,0.013921702,0.08750595,0.000244501,0.18150033,0.004076865,1.0
940000,0.9144785,817.5555555555555,-0.46790034,-3.8586892502175436,-3.8586892502175436,0.0073900097,0.086925715,0.00024390733,0.18130244,0.004066991,1.0
950000,1.0584611,931.1428571428571,-0.49083275,-4.57192186904805,-4.57192186904805,0.0036325643,0.08827856,0.00024330293,0.18110098,0.0040569385,1.0
960000,2.1086442,601.1333333333333,-0.45126647,-2.5469602207342783,-2.5469602207342783,0.013407152,0.096347615,0.00024270096,0.1809003,0.0040469253,1.0
970000,2.8211973,800.6,-0.46200657,-3.7422302559018137,-3.7422302559018137,0.008626964,0.09591064,0.00024209867,0.18069954,0.004036907,1.0
980000,3.0648627,710.421052631579,-0.40574622,-3.2764790567912554,-3.2764790567912554,0.024799585,0.09023233,0.00024150069,0.18050022,0.0040269606,1.0
990000,3.0084305,565.7777777777778,-0.4231678,-2.5648375833407044,-2.5648375833407044,0.021831783,0.09152247,0.00024091342,0.18030445,0.0040171924,1.0
1000000,2.8978565,739.25,-0.40861204,-3.1225500958306447,-3.1225500958306447,0.021276247,0.096402675,0.00024030752,0.1801025,0.0040071146,1.0
1010000,2.860756,614.5625,-0.38925332,-2.5001067757606505,-2.5001067757606505,0.030316284,0.09259495,0.00023968716,0.1798957,0.0039967955,1.0
1020000,2.9075737,759.7857142857143,-0.4064396,-3.5803401698668798,-3.5803401698668798,0.02156576,0.09043189,0.0002391037,0.17970122,0.0039870907,1.0
1030000,2.785221,654.9285714285714,-0.4354953,-2.8506715819239616,-2.8506715819239616,0.016150897,0.085702576,0.00023848354,0.17949452,0.003976776,1.0
1040000,2.6255312,700.0625,-0.43395406,-3.0976001992821693,-3.0976001992821693,0.014507741,0.090328656,0.0002378983,0.17929944,0.003967041,1.0
1050000,2.5624604,616.8571428571429,-0.38754067,-2.631871586399419,-2.631871586399419,0.017233588,0.094599806,0.00023729091,0.17909695,0.003956938,1.0
1060000,2.5044549,746.0909090909091,-0.41387206,-3.311763881282373,-3.311763881282373,0.016402211,0.081488766,0.00023670681,0.17890225,0.0039472226,1.0
1070000,2.5310924,954.9285714285714,-0.436565,-4.67880030348897,-4.67880030348897,0.0054359864,0.09452316,0.00023609522,0.1786984,0.00393705,1.0
1080000,2.518114,653.25,-0.40418127,-3.0292573603136197,-3.0292573603136197,0.021115992,0.0878959,0.00023548247,0.17849417,0.0039268574,1.0
1090000,2.3292987,701.8235294117648,-0.42293534,-3.0198627253994346,-3.0198627253994346,0.02219291,0.08685276,0.00023490314,0.17830102,0.0039172214,1.0
1100000,1.9818009,603.8235294117648,-0.3696791,-2.5745335345466933,-2.5745335345466933,0.028713223,0.09679895,0.0002342917,0.17809723,0.003907051,1.0
1110000,1.4701707,651.75,-0.4141939,-2.8421002278725305,-2.8421002278725305,0.017852722,0.09085112,0.00023371994,0.17790663,0.0038975417,1.0
1120000,1.1854495,923.2727272727273,-0.4638614,-4.547864023934711,-4.547864023934711,0.0034753298,0.09408052,0.00023311561,0.17770518,0.0038874885,1.0
1130000,0.8961137,933.8181818181819,-0.47948185,-4.5303403869271275,-4.5303403869271275,0.0030581818,0.08927641,0.00023248729,0.17749573,0.0038770372,1.0
1140000,0.7484962,685.3636363636364,-0.46635556,-3.2252002879977226,-3.2252002879977226,0.009977327,0.092918895,0.00023189334,0.17729777,0.0038671587,1.0
1150000,0.7672234,790.1333333333333,-0.42150623,-3.652000347773234,-3.652000347773234,0.013003967,0.09446338,0.00023129156,0.17709719,0.0038571486,1.0
1160000,1.2178003,741.2666666666667,-0.4225381,-3.3439269840717314,-3.3439269840717314,0.01234364,0.09043623,0.00023068707,0.17689566,0.0038470943,1.0
1170000,1.9360533,614.3846153846154,-0.41368675,-2.5653639015826313,-2.5653639015826313,0.017502882,0.087777525,0.00023009846,0.17669947,0.0038373042,1.0
1180000,2.9296553,746.5,-0.4042309,-3.2628911571069197,-3.2628911571069197,0.024674093,0.089565426,0.00022950301,0.176501,0.0038273993,1.0
1190000,3.147422,710.3333333333334,-0.44142774,-3.089933432638645,-3.089933432638645,0.017787166,0.093243174,0.00022889586,0.1762986,0.0038173,1.0
1200000,2.7803319,735.6,-0.49823403,-3.381720111767451,-3.381720111767451,0.0066462825,0.0873553,0.00022831722,0.17610572,0.0038076756,1.0
1210000,2.7914395,685.8421052631579,-0.42668715,-3.145536935643146,-3.145536935643146,0.028712105,0.0884425,0.00022769901,0.17589967,0.0037973924,1.0
1220000,2.8790689,849.0,-0.464647,-4.064190159738064,-4.064190159738064,0.0066734217,0.08946174,0.00022709278,0.1756976,0.003787309,1.0
1230000,2.8830237,813.0,-0.4550157,-3.788861572742462,-3.788861572742462,0.016845228,0.09568512,0.00022649199,0.17549732,0.003777316,1.0
1240000,3.0474954,687.4615384615385,-0.4377322,-3.1419769536990385,-3.1419769536990385,0.019799737,0.08891642,0.00022589651,0.17529882,0.0037674115,1.0
1250000,3.1943903,610.421052631579,-0.42211187,-2.562400024188192,-2.562400024188192,0.02563856,0.09150416,0.00022531161,0.17510386,0.0037576822,1.0
1260000,3.296971,536.2941176470588,-0.3748649,-2.1917470150134144,-2.1917470150134144,0.02461302,0.093222246,0.00022468997,0.17489664,0.0037473426,1.0
1270000,3.4111364,613.6470588235294,-0.41621563,-2.718723500476164,-2.718723500476164,0.024153613,0.090401255,0.00022411732,0.17470574,0.0037378173,1.0
1280000,3.3846745,809.1,-0.43187365,-3.5352399423718452,-3.5352399423718452,0.01330809,0.09119211,0.00022350137,0.17450045,0.0037275716,1.0
1290000,3.2875767,697.9333333333333,-0.43275914,-3.160013268391291,-3.160013268391291,0.025225358,0.09444573,0.00022289113,0.174297,0.0037174213,1.0
1300000,3.2218049,664.5625,-0.4761681,-3.1994199375311534,-3.1994199375311534,0.012278468,0.09175229,0.0002222971,0.17409903,0.003707541,1.0
1310000,3.309205,662.8888888888889,-0.40610957,-2.489194047801635,-2.489194047801635,0.028264629,0.093944654,0.00022171366,0.17390454,0.0036978368,1.0
1320000,3.221429,578.1666666666666,-0.45616537,-2.9033284868512834,-2.9033284868512834,0.014250008,0.095315225,0.00022110912,0.173703,0.0036877808,1.0
1330000,3.2373083,782.3333333333334,-0.4765764,-3.819419891635577,-3.819419891635577,0.01694163,0.08931206,0.00022049654,0.17349884,0.0036775914,1.0
1340000,3.2779157,664.7058823529412,-0.43695042,-3.151358690331964,-3.151358690331964,0.022063253,0.08885806,0.00021990712,0.17330232,0.0036677872,1.0
1350000,3.2779746,475.14285714285717,-0.36788386,-1.6784642391971178,-1.6784642391971178,0.036004838,0.092503354,0.00021931315,0.17310438,0.0036579075,1.0
1360000,3.2495775,924.0,-0.48321155,-4.547189939022064,-4.547189939022064,0.005006833,0.089735664,0.00021870657,0.17290217,0.0036478182,1.0
1370000,2.9335163,827.4117647058823,-0.4608112,-3.852119916677475,-3.852119916677475,0.0131546995,0.090698525,0.00021811243,0.17270415,0.0036379364,1.0
1380000,2.8161833,930.4444444444445,-0.4561985,-4.753363503651186,-4.753363503651186,0.0049568075,0.09416021,0.00021750019,0.17250006,0.0036277522,1.0
1390000,2.8769515,730.4444444444445,-0.46187252,-3.3844999174276986,-3.3844999174276986,0.011129499,0.09729093,0.00021689075,0.1722969,0.003617616,1.0
1400000,3.0300503,852.125,-0.47526827,-4.299828482525689,-4.299828482525689,0.0056562596,0.09011408,0.00021628206,0.172094,0.003607491,1.0
1410000,3.106092,671.6428571428571,-0.42791757,-2.9352623587474227,-2.9352623587474227,0.02043702,0.08979512,0.00021569204,0.17189732,0.0035976768,1.0
1420000,3.0052135,642.0833333333334,-0.45874494,-2.796909873187542,-2.796909873187542,0.011615205,0.083329186,0.00021508982,0.17169659,0.0035876597,1.0
1430000,3.0969949,832.375,-0.45068127,-3.741427616112762,-3.741427616112762,0.013244341,0.09168111,0.00021452048,0.17150679,0.0035781898,1.0
1440000,2.9832368,634.4666666666667,-0.43325186,-3.4152748373647532,-3.4152748373647532,0.017068999,0.09383828,0.00021388062,0.17129353,0.0035675466,1.0
1450000,2.9701445,867.2727272727273,-0.44451356,-3.284378409385681,-3.284378409385681,0.012674453,0.08936095,0.00021328703,0.17109565,0.0035576737,1.0
1460000,2.9257853,634.4375,-0.44458964,-2.6582936346530914,-2.6582936346530914,0.0141462935,0.09417713,0.00021270104,0.17090034,0.0035479267,1.0
1470000,2.959799,686.9090909090909,-0.43506378,-3.07238167795268,-3.07238167795268,0.01536911,0.09140424,0.00021210378,0.17070125,0.003537992,1.0
1480000,2.904425,746.9375,-0.39622903,-3.3298999005928636,-3.3298999005928636,0.021043528,0.088423066,0.00021149393,0.17049795,0.0035278483,1.0
1490000,2.8669937,787.9166666666666,-0.44425482,-3.7319082555671534,-3.7319082555671534,0.011656514,0.08971345,0.00021090634,0.17030208,0.003518074,1.0
1500000,3.043921,662.0,-0.42480186,-2.5981691720393987,-2.5981691720393987,0.026545329,0.09327675,0.00021029396,0.17009798,0.003507889,1.0
1510000,2.9748778,718.2,-0.42461938,-3.2875665922959647,-3.2875665922959647,0.019202312,0.09272443,0.00020969745,0.16989912,0.0034979668,1.0
1520000,2.8911982,662.4,-0.4514334,-2.933619922399521,-2.933619922399521,0.008635277,0.09075614,0.00020909739,0.16969913,0.0034879856,1.0
