Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2210000,2.5374827,574.0,-0.008068703,0.0013749829959124327,0.0013749829959124327,1.0
2220000,2.540016,547.9333333333333,-0.028538734,-0.06266669631004333,-0.06266669631004333,1.0
2230000,2.544734,653.8095238095239,-0.0341076,-0.48452385213403476,-0.48452385213403476,1.0
2240000,2.5670328,384.5,-0.035745807,0.2532499844674021,0.2532499844674021,1.0
2250000,2.5784063,660.5,-0.038074523,-0.4836875314358622,-0.4836875314358622,1.0
2260000,2.5752416,586.0909090909091,-0.055621404,-0.3393182075497779,-0.3393182075497779,1.0
2270000,2.5399623,509.7142857142857,-0.062708326,-0.2543571641934769,-0.2543571641934769,1.0
2280000,2.5573215,716.625,-0.038097538,-0.4623125335201621,-0.4623125335201621,1.0
2290000,2.584157,461.8181818181818,-0.018099228,0.13409089330922475,0.13409089330922475,1.0
2300000,2.5817041,673.4615384615385,-0.032643758,-0.4284615639883738,-0.4284615639883738,1.0
2310000,2.5905476,507.04347826086956,-0.04681516,-0.038739148527383804,-0.038739148527383804,1.0
2320000,2.608662,534.1666666666666,-0.037781283,-0.21783336479630735,-0.21783336479630735,1.0
2330000,2.580753,592.6153846153846,-0.054745693,-0.3770769556554464,-0.3770769556554464,1.0
2340000,2.5967753,666.7333333333333,-0.065314405,-0.6298000377913316,-0.6298000377913316,1.0
2350000,2.5939739,614.85,-0.081761524,-0.5350000340491533,-0.5350000340491533,1.0
2360000,2.5563898,547.7142857142857,-0.07648216,-0.31364288021411213,-0.31364288021411213,1.0
2370000,2.6026733,696.875,-0.08083428,-0.6504375303629786,-0.6504375303629786,1.0
2380000,2.614138,543.2307692307693,-0.0675817,-0.04884618162535704,-0.04884618162535704,1.0
2390000,2.5739179,507.4166666666667,-0.049755946,0.2063333202774326,0.2063333202774326,1.0
2400000,2.6339974,532.375,-0.05032501,-0.008125029969960451,-0.008125029969960451,1.0
2410000,2.595112,601.3181818181819,-0.047851864,-0.2602273047986356,-0.2602273047986356,1.0
2420000,2.6150918,519.5294117647059,-0.041981902,-0.08405885034624268,-0.08405885034624268,1.0
2430000,2.6079488,541.3333333333334,-0.009219119,-0.12326088742069576,-0.12326088742069576,1.0
2440000,2.597233,360.3157894736842,0.0076626684,0.2824999852105975,0.2824999852105975,1.0
2450000,2.5788355,587.5263157894736,-0.01982655,0.0019411595866960637,0.0019411595866960637,1.0
2460000,2.6011298,483.5,-0.0020657163,-0.09405556921329764,-0.09405556921329764,1.0
2470000,2.622298,663.0526315789474,0.004294019,-0.41121055813212143,-0.41121055813212143,1.0
2480000,2.623214,530.5,0.001580213,0.05582351018400753,0.05582351018400753,1.0
2490000,2.6609566,468.2,-0.01296194,0.09614283697945732,0.09614283697945732,1.0
2500000,2.6549227,408.5217391304348,-0.010831797,0.24614999033510684,0.24614999033510684,1.0
2510000,2.6607006,657.3125,-0.02812046,-0.3490526587947419,-0.3490526587947419,1.0
2520000,2.6246195,677.8666666666667,-0.03341006,-0.3285000372145857,-0.3285000372145857,1.0
2530000,2.6548498,430.0,-0.019852595,0.03452172065558641,0.03452172065558641,1.0
2540000,2.6700687,540.2631578947369,-0.010473596,-0.1700526607271872,-0.1700526607271872,1.0
2550000,2.6750586,526.7333333333333,-0.0074476977,-0.0896666889389356,-0.0896666889389356,1.0
2560000,2.6938317,634.0526315789474,-0.01874188,-0.31063161339414747,-0.31063161339414747,1.0
2570000,2.679562,463.64,0.00792259,0.14903997585177423,0.14903997585177423,1.0
2580000,2.6773524,362.2631578947368,0.014600673,0.3554736724809596,0.3554736724809596,1.0
2590000,2.6085563,554.625,0.011936167,-0.13787502935156226,-0.13787502935156226,1.0
2600000,2.6150022,437.8095238095238,0.033423852,0.21019046097284272,0.21019046097284272,1.0
2610000,2.648569,549.0,0.020806821,-0.1687778044078085,-0.1687778044078085,1.0
2620000,2.6463337,580.5714285714286,0.019178277,-0.23053574362503632,-0.23053574362503632,1.0
2630000,2.6350303,442.89473684210526,0.023784038,0.1522105108750494,0.1522105108750494,1.0
2640000,2.6291814,489.1764705882353,0.026361877,0.03218747675418854,0.03218747675418854,1.0
