Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
850000,1.7666851,86.9396551724138,0.4974324,0.8091083295332889,0.8091083295332889,0.0346564,0.07195485,0.0002492783,0.18309276,0.0041563283,1.0
860000,1.7428757,80.7927927927928,0.5487488,0.8854347797191662,0.8854347797191662,0.032770105,0.07933281,0.00024869674,0.18289891,0.004146655,1.0
870000,1.823758,88.91071428571429,0.51235753,0.8765794381708185,0.8765794381708185,0.03455757,0.06642787,0.00024812057,0.18270686,0.0041370722,1.0
880000,1.810299,84.32,0.5034337,0.8747679978311061,0.8747679978311061,0.039641052,0.06646131,0.00024751466,0.18250488,0.0041269935,1.0
890000,1.7455071,80.65137614678899,0.5497983,0.8661754350913199,0.8661754350913199,0.03211455,0.067879334,0.00024691143,0.18230383,0.00411696,1.0
900000,1.8093011,99.29807692307692,0.44454956,0.7967884578527167,0.7967884578527167,0.033222176,0.067192644,0.00024630933,0.18210311,0.004106945,1.0
910000,1.8236074,85.81666666666666,0.4971108,0.860643475211185,0.860643475211185,0.032208093,0.06380612,0.00024571273,0.18190424,0.0040970207,1.0
920000,1.7879447,93.75238095238095,0.47539514,0.8422870341067513,0.8422870341067513,0.034124035,0.06815593,0.00024512107,0.18170702,0.00408718,1.0
930000,1.8495824,96.6,0.44836685,0.8506132050083494,0.8506132050083494,0.03215298,0.062231556,0.00024450876,0.18150288,0.004076995,1.0
940000,1.7950771,79.53389830508475,0.5486805,0.8698655421994314,0.8698655421994314,0.031284567,0.06835346,0.00024390055,0.1813002,0.0040668785,1.0
950000,1.746153,91.20560747663552,0.4867664,0.8549999977662185,0.8549999977662185,0.029536081,0.067619994,0.00024331242,0.18110412,0.0040570954,1.0
960000,1.6769289,81.90983606557377,0.5553767,0.8880819645023248,0.8880819645023248,0.02993032,0.069223985,0.00024271273,0.18090421,0.004047121,1.0
970000,1.716247,82.32520325203252,0.5351546,0.9017999957315623,0.9017999957315623,0.029201875,0.06891528,0.00024209515,0.18069836,0.0040368484,1.0
980000,1.7114279,78.20769230769231,0.59508544,0.9100225554653129,0.9100225554653129,0.027879946,0.06476812,0.0002415012,0.18050039,0.00402697,1.0
990000,1.6462029,86.3,0.46530735,0.8811090897768736,0.8811090897768736,0.036300264,0.0660673,0.0002409121,0.180304,0.0040171696,1.0
1000000,1.6212776,76.93023255813954,0.5784863,0.8944573635740798,0.8944573635740798,0.030426614,0.072764084,0.00024031509,0.18010503,0.0040072408,1.0
1010000,1.7668597,78.47014925373135,0.57856756,0.9001370964331492,0.9001370964331492,0.026111135,0.07096349,0.00023967729,0.1798924,0.0039966316,1.0
1020000,1.6300088,75.55284552845528,0.5830894,0.894499997777695,0.894499997777695,0.028671453,0.06722328,0.00023910758,0.17970252,0.003987155,1.0
1030000,1.6985592,88.10619469026548,0.51750857,0.8629369361510685,0.8629369361510685,0.029677447,0.07452055,0.00023853403,0.17951134,0.003977616,1.0
